,Formula,0,10,20,25,30,40,50,60,70,80,90,100
141,LiBrO3,61.03,62.62,64.44,65.44,66.51,68.9,71.68,73.24,74.43,75.66,76.93,78.32
142,LiC2H3O2,23.76,26.49,29.42,31.02,32.72,36.48,40.65,45.15,49.93,54.91,60.04,65.26
143,LiCl,40.45,42.46,45.29,45.81,46.25,47.3,48.47,49.78,51.27,52.98,54.98,56.34
144,LiClO3,73.2,75.6,80.8,82.1,83.4,85.9,87.1,88.2,89.6,91.3,93.4,95.7
145,LiClO4,30.1,32.6,35.5,37.0,38.6,41.9,45.5,49.2,53.2,57.2,61.3,71.4
146,LiF,0.12,0.126,0.131,0.134,,,,,,,,
147,LiH2PO4,55.8,,,,,,,,,,,
148,LiI,59.4,60.5,61.7,62.3,63.0,64.3,65.8,67.3,68.8,81.3,81.7,82.6
149,LiIO3,,,,43.8,,,,,,,,
150,LiNO2,41.0,45.0,49.0,51.0,53.0,56.0,60.0,63.0,66.0,68.0,,
151,LiNO3,34.8,37.6,42.7,50.5,57.9,60.1,62.2,64.0,65.7,67.2,68.5,69.7
152,LiOH,10.8,10.8,11.0,11.1,11.3,11.7,12.2,12.7,13.4,14.2,15.1,16.1
153,LiSCN,,,,54.5,,,,,,,,
154,Li2CO3,1.54,1.43,1.33,1.28,1.24,1.15,1.07,0.99,0.92,0.85,0.78,0.72
155,Li2C2O4,,,,5.87,,,,,,,,
156,Li2HPO3,9.07,8.4,7.77,7.47,7.18,6.64,6.16,5.71,5.3,4.91,4.53,4.16
157,Li2SO4,26.3,25.9,25.6,25.5,25.3,25.0,24.8,24.5,24.3,24.0,23.8,23.6
158,Li3PO4,,,,0.027000000000000003,,,,,,,,
159,Lu(NO3)3,,,,71.1,,,,,,,,
160,MgBr2,49.3,49.8,50.3,50.6,50.9,51.5,52.1,52.8,53.5,54.2,55.0,55.7
161,Mg(BrO3)2,43.0,45.2,48.0,49.4,51.0,54.3,57.9,61.6,65.3,69.0,70.9,71.7
162,MgC2O4,,,,0.038,,,,,,,,
163,Mg(C2H3O2)2,36.18,37.55,38.92,39.61,,,,,,,,
164,MgCl2,33.96,34.85,35.58,35.9,36.2,36.77,37.34,37.97,38.71,39.62,40.75,42.15
165,Mg(ClO3)2,53.35,54.4,56.81,58.66,60.91,65.46,67.33,69.27,71.01,72.44,73.48,
166,Mg(ClO4)2,47.8,48.7,49.6,50.1,50.5,51.3,52.1,,,,,
167,MgCrO4,32.06,,,35.39,,,,,,,,
168,MgCr2O7,,,,58.9,,,,,,67.0,,
169,MgF2,,,,0.013000000000000001,,,,,,,,
170,MgI2,54.7,56.1,58.2,59.4,60.8,63.9,65.0,65.0,65.0,65.0,65.1,65.2
171,Mg(IO3)2,3.19,6.7,7.92,8.52,9.11,10.45,11.99,13.7,15.6,17.6,19.6,
172,Mg(NO2)2,,,,47.0,,,,,,,,
173,Mg(NO3)2,38.4,39.5,40.8,41.6,42.4,44.1,45.9,47.9,50.0,52.2,70.6,72.0
174,MgSO3,0.32,0.37,0.46,0.52,0.61,0.87,0.85,0.76,0.69,0.64,0.62,0.6
175,MgSO4,18.2,21.7,25.1,26.3,28.2,30.9,33.4,35.6,36.9,35.9,34.7,33.3
176,MgS2O3,30.7,,,34.1,,,,,,,,
177,MgSeO4,31.4,,,35.7,,,,,,,,47.0
178,MnBr2,56.0,57.72,59.39,60.19,60.96,62.41,63.75,65.01,66.19,67.32,68.42,69.5
179,MnCl2,38.7,40.6,42.5,43.6,44.7,47.0,49.4,54.1,54.7,55.2,55.7,56.1
180,MnF2,0.8,,,1.01,,,,,,,,0.48
181,Mn(IO3)2,,,,0.27,,,,,,,0.34,
182,Mn(NO3)2,50.5,,,61.7,,,,,,,,
183,MnSO4,34.6,37.3,38.6,38.9,38.9,37.7,36.3,34.6,32.8,30.8,28.8,26.7
184,NH4Br,37.5,40.2,42.7,43.9,45.1,47.3,49.4,51.3,53.0,54.6,56.1,57.4
185,NH4Cl,22.92,25.12,27.27,28.34,29.39,31.46,33.5,35.49,37.46,39.4,41.33,43.24
186,NH4ClO4,10.8,14.1,17.8,19.7,21.7,25.8,29.8,33.6,37.3,40.7,43.8,46.6
187,NH4F,41.7,43.2,44.7,45.5,46.3,47.8,49.3,50.9,52.5,54.1,,
